barcode,created,short_desc,total_sold
4800024562258,2023/01,DM TIDBITS FLAT 227G,34
4800361410892,2023/01,BEAR BRAND Powdered Milk Drink 300g,118
4800092660641,2023/01,CHOCO MUCHO CHOCO BOX 33,72
18,2023/01,18,18
4800361381086,2023/01,BEAR BRAND Powdered Milk Drink 135g,50
4804888019583,2023/01,BROWN SUGAR 450G,40
4801668100288,2023/01,MANG TOMAS SIGA 320G,40
4800249008531,2023/01,SAN MARINO CHILI CORNED TUNA 85G,27
40329055,2023/01,CAMEL CIG,88
4800361410816,2023/01,BEAR BRAND Powdered Milk Drink Swak by 8,78
4800361413480,2023/01,MILO 24G BY 12,47.5
4987176040480,2023/01,HEAD N SHOULDER ANTIBAC BY 12,38
4800888212917,2023/01,DOVE STRAIGHT PINK SH 12ML BY12,32
4902430424264,2023/01,DOWNY ANTIBAC TRIPID 66ML BY6,84
4806501705026,2023/01,CHAMPION 105G BY6,92
4800631001867,2023/01,BOY BAWANG SNACK MIX GARLIC 85G,22
4800631001928,2023/01,BOY BAWANG ASST NUTS 85G,22
4800523220284,2023/01,MOBY CHOCO 25g,6
8993175551069,2023/01,PINK LAVA 50G,55
4806502721452,2023/01,GARDENIA FIBER WHEAT 400G,68
4806500802368,2023/01,MAGIC PANTS L45,285
4800194152327,2023/01,PILLOWS UBE 38g,8
8998666001726,2023/01,KOPIKO BLANCA TP,114
4806511110216,2023/01,BOOSTER 45PCS,0
42,2023/01,42,42
4801288850082,2023/01,THOSE DAYS WINGS 8S,19
40329055,2023/01,CAMEL CIG,88
18,2023/01,18,18
7,2023/01,7,14
C18,2023/01,CURLS ASST 18,18.5
14,2023/01,14,14
BS18,2023/01,BODY SOAP ASST,19.5
4804888019552,2023/01,WASHED SUGAR 450G,41
48044295,2023/01,MARLBORO RED 20'S,135.5
4800365880318,2023/01,SUPER DELIGHT BROWNIES BITES,66
4807770273674,2023/01,PANCIT CANTON KALAMANSI,55
4800888169709,2023/01,SUNSILK STRONG & LONG 13ML BY12,33
12,2023/01,12,36
8410162100234,2023/01,FUNDADOR LIGHT 1L,395
4032900145211,2023/01,MIGHTY BLACK,88
4806507620910,2023/01,SAGO ME,28
4800092110023,2023/01,HANSEL MOCHA,53
P9,2023/01,POWDER ASST 9,0
TP9,2023/01,TOOTHPASTE RETAIL 9,27
6,2023/01,6,18
7,2023/01,7,21
BS18,2023/01,BODY SOAP ASST,39
4800194153225,2023/01,BREAD PAN CHEESE 24g LS,36
4801668100141,2023/01,DATU PUTI VINEGAR 1L,46
4801668500224,2023/01,DATU PUTI SOY SAUCE 1L,54
LIPA,2023/01,LIPA PABORITA BY 10,60
4800092772214,2023/01,CRISS CROSS CHEESE,6
4800194116664,2023/01,PINATTSU,9
4800016633621,2023/01,PIATTOS NACHO PIZZA 40gx80,14.5
JTOCCINO,2023/01,JOSHUA TOCCINO 250G,114
40329055,2023/01,CAMEL CIG,88
4806502720080,2023/01,GARDENIA PANDESAL FAMILY PACK 300G,52
4806531560275,2023/01,JOSHUA HAM COOKED 250G,48
C6,2023/01,CURLS ASST 6.50,24
4800016787027,2023/01,ER Elbow Macaroni 30 x 400g,44
4806506318924,2023/01,SISTERS PANTYLINER 20'S INDV PACK,28
4800030000188,2023/01,IDEAL MACARONI 250G ELBOW,18
4800047841712,2023/01,ZONROX COLORSAFE 450ML,38
9,2023/01,9,27
RX8,2023/01,REXONA RETAIL 8,24
4800047840029,2023/01,ZONROX ORIGINAL 500ML,23
78,2023/01,78,312
4800016551598,2023/01,NISSIN RAMEN SEAFOOD 55GX72,54
4800361410892,2023/01,BEAR BRAND Powdered Milk Drink 300g,118
TP9,2023/01,TOOTHPASTE RETAIL 9,18
BS18,2023/01,BODY SOAP ASST,19.5
7,2023/01,7,77
40329055,2023/01,CAMEL CIG,88
48041812,2023/01,MIGHTY GREEN FLIPTOP,107
4800016552113,2023/01,NISSIN MINI SEAFOOD 40GX48,42
4800631001867,2023/01,BOY BAWANG SNACK MIX GARLIC 85G,22
4800047840036,2023/01,ZONROX ORIGINAL 250ML,15
4902430346184,2023/01,DOWNY ANTIBAC 38ML BY6,52
4902430727143,2023/01,DOWNY PASSION 32ML BY6,52
4800888183804,2023/01,SURF PWD ROSE 75G BY6,74
55,2023/01,55,55
18,2023/01,18,18
4800016022265,2023/01,GT 3IN1 WHITE TWIN PACK 50gX10X24,115
120,2023/01,120,120
4801668500262,2023/01,DATU PUTI SOY SAUCE 350ML,19.5
6,2023/01,6,6
K10,2023/01,KAPE/MILK/OTHER BEVERAGE,20
4800361421959,2023/01,MILO 150G,52
4800575144590,2023/01,ALASKA POWDER 300G,90
10,2023/01,10,10
4800361413480,2023/01,MILO 24G BY 12,47.5
80,2023/01,80,80
748485401591,2023/01,BIRCHTREE FORTIFIED 150G,48
160,2023/01,160,160
4806507621252,2023/01,FANCY MILK,24
6,2023/01,6,36
15,2023/01,15,15
4806506313981,2023/01,CHERUB BABY WIPES 55PCS,68
4800361410892,2023/01,BEAR BRAND Powdered Milk Drink 300g,118
4800361410892,2023/01,BEAR BRAND Powdered Milk Drink 300g,118
4805885171007,2023/01,RENO LIVER SMALL,31
4800575370302,2023/01,COWBELL CONDENSADA 300ML,39
M COKE,2023/01,COKE MISMO,170
4800361410892,2023/01,BEAR BRAND Powdered Milk Drink 300g,118
4800016560910,2023/01,NISSIN RAMEN SPICY SEAFOOD 59GX72,13.5
4800523223827,2023/01,MOBY CARAMEL 90G,21
750515018501,2023/01,SKYFLAKES PLAIN 10s,54
48041812,2023/01,MIGHTY GREEN FLIPTOP,214
B5,2023/01,ASST BREAD RETAIL 5,20
4800110026497,2023/01,HOMI BEEF MAMI,27
4800110026909,2023/01,HOMI TOYOMANSI,23
150,2023/01,150,150
4806517042009,2023/01,GOYA MILK CHOCOLATE 35G,22
18,2023/01,18,18
KN5,2023/01,KNORR CUBES ASST,12
7622210075017,2023/01,CHEEZ WHIZ PIMIENTO SUP 200G,88
4800016671807,2023/01,PIATTOS SOUR CREAM 80,14.5
4800016644801,2023/01,PIATTOS CHEESE 40gx80,14.5
4800016652035,2023/01,MR. CHIPS NACHO CHEESE 26gx100,7
4800523220802,2023/01,MOBY CARAMEL 25G,6.25
4800016661006,2023/01,ROLLER COASTER CHEDDAR 24gx100,7
4800194152327,2023/01,PILLOWS UBE 38g,8
4800888136749,2023/01,SURF BAR KALAMANSI 360G,23
8998866606851,2023/01,WINGS PWD FRESH 70G BY6,36
40329055,2023/01,CAMEL CIG,88
4806506318764,2023/01,SISTERS PANTYLINER MEGA PACK 36,34
4800361388313,2023/01,NESTLE CHUCKIE Opti-Grow 180ml,23.5
4800194152891,2023/01,MARTYS SPICY 25g LS,6
4800194116237,2023/01,POTATO FRIES PLAIN 21G,6
4800016065828,2023/01,Wafrets Biggies Choco,23
4902430720151,2023/01,PAMPERS COMFORT REGULAR SMALL 12,95
4800575140370,2023/01,ALASKA EVAPORADA 370ML,32
4806525943534,2023/01,TP SAGOT GULAMAN LITRO,18
4806525943565,2023/01,TP BLUE LEMONADE 25G,18
4806504710126,2023/01,MEGA CHILI RED 155G,67.5
4902430346177,2023/01,DOWNY SUNRISE FRESH 38ML BY6,26
F9,2023/01,FABCON/ DISHWASHING ASST 9,32
8,2023/01,8,8
4808680022031,2023/01,LADYS CHOICE SANDWICH SPREAD CHICKEN 220ML,125
4800014701049,2023/01,ABSOLUTE 8L,85
4804888019545,2023/01,WASHED SUGAR 225G,21
16,2023/01,16,16
4800365881742,2023/01,SUPER DELIGHT MINI CHOCO 28G,168
4806502359709,2023/01,TISYU,12.5
4800194153683,2023/01,BREAD PAN BUTTERED 24g LS,6
4800194152327,2023/01,PILLOWS UBE 38g,8
4800523220284,2023/01,MOBY CHOCO 25g,6
18,2023/01,18,18
8996001358320,2023/01,WAFELLO COCO CREME 53.5G,55
748485401591,2023/01,BIRCHTREE FORTIFIED 150G,48
4800092113109,2023/01,EXTREME CHOCO,53.5
4800016642029,2023/01,CHIPPY BBQ 30gx100,14
18,2023/01,18,18
48044295,2023/01,MARLBORO RED 20'S,135.5
4800552888059,2023/01,CHIPS DELIGHT 80G,58
6,2023/01,6,6
48041010,2023/01,NIC Chocolate 24x100ml,29
48044301,2023/01,MARLBORO LIGHTS,135.5
4802288813121,2023/01,HAPPY PANTS L12,96
C18,2023/01,CURLS ASST 18,18.5
4804888019576,2023/01,BROWN SUGAR 225G,20
